Version     :: 0.0.11.0
DateTime    :: 11/7/2023 01:41:36 AM
RegExType   :: Debuff :: Shadow Mantle
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<target>.*) [areis]+ (?<type>surround)ed by a (?<source>.*)[\.!]
(01:43:43) MyosMoo is surrounded by a divine shield!
(01:43:43) Marco is surrounded by a divine shield!
(01:43:43) Peking is surrounded by a protective shield.
(01:43:44) Bearable is surrounded by a black mantle.
(01:43:45) Healn is surrounded by a black mantle.
(01:43:46) MyosMoo is surrounded by a black mantle.
(01:43:46) MyosMoo is surrounded by a black mantle.
(01:43:47) Nibenay is surrounded by a psychic shield!
(01:43:53) Szmz is surrounded by a protective shield.
(01:43:53) Hold is surrounded by a protective shield.
(01:43:53) JMc is surrounded by a protective shield.
(01:43:54) nvwu is surrounded by a black mantle.
(01:43:54) CloudA is surrounded by a protective shield.
(01:43:54) You are surrounded by a black mantle.
(01:43:55) fcd is surrounded by a black mantle.
(01:43:55) Szmz is surrounded by a protective shield.
(01:43:56) You are surrounded by a black mantle.
(01:43:57) Breeze is surrounded by a protective shield.
(01:43:58) You are surrounded by a black mantle.
(01:44:00) You are surrounded by a black mantle.
(01:44:00) Breeze is surrounded by a black mantle.
(01:44:02) JMc is surrounded by a black mantle.
(01:44:02) JMc is surrounded by a black mantle.
(01:44:03) ysmf is surrounded by a black mantle.
(01:44:05) CaliSent is surrounded by a divine shield!
(01:44:05) Prodriver is surrounded by a divine shield!
(01:44:05) Manshoon is surrounded by a divine shield!
(01:44:05) Manshoon is surrounded by a protective shield.
(01:44:05) HolyThug is surrounded by a divine shield!
(01:44:05) Tibins is surrounded by a divine shield!
(01:44:05) Healn is surrounded by a divine shield!
(01:44:05) Toy is surrounded by a divine shield!
(01:44:05) Liquid is surrounded by a divine shield!
(01:44:06) Tibins is surrounded by a divine shield!
(01:44:06) Manshoon is surrounded by a divine shield!
(01:44:06) Manshoon is surrounded by a protective shield.
(01:44:06) Liquid is surrounded by a divine shield!
(01:44:06) HolyThug is surrounded by a divine shield!
(01:44:06) Toy is surrounded by a divine shield!
(01:44:06) Prodriver is surrounded by a divine shield!
(01:44:07) CaliSent is surrounded by a divine shield!
(01:44:07) Tibins is surrounded by a divine shield!
(01:44:07) Healn is surrounded by a divine shield!
(01:44:08) Hold is surrounded by a protective shield.
(01:44:09) Vaginex is surrounded by a protective shield.
(01:44:10) CloudA is surrounded by a protective shield.
(01:44:10) Tibins is surrounded by a black mantle.
(01:44:11) Vaginex is surrounded by a protective shield.
(01:44:12) CaliSent is surrounded by a black mantle.
(01:44:12) CaliSent is surrounded by a black mantle.
(01:44:12) Liquid is surrounded by a black mantle.
(01:44:12) champagne is surrounded by a black mantle.
(01:44:14) Vaginex is surrounded by a black mantle.
(01:44:15) Prodriver is surrounded by a black mantle.
(01:44:15) Prodriver is surrounded by a black mantle.
(01:44:15) Prodriver is surrounded by a black mantle.
(01:44:16) HolyThug is surrounded by a black mantle.
(01:44:17) Healn is surrounded by a black mantle.
(01:44:17) Manshoon is surrounded by a divine shield!
(01:44:17) Manshoon is surrounded by a protective shield.
(01:44:18) Healn is surrounded by a black mantle.
(01:44:19) Hold is surrounded by a protective shield.
(01:44:26) SPA is surrounded by a divine shield!
(01:44:27) FYms is surrounded by a divine shield!
(01:44:29) XJY is surrounded by a protective shield.
(01:44:31) lii is surrounded by a divine shield!
