Version     :: 0.0.11.5
DateTime    :: 11/7/2023 04:12:41 PM
RegExType   :: Debuff :: Shadow Mantle
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<target>.*) [areis]+ (?<type>surround)ed by a (?<source>.*)[\.!]

Time     : Value_Type : Source                    : Target                    : Ability                   : Event_type   : Event_detail : Value 
16:14:19 : surround   : protective shield         : TyyppVee                  :                           :              :              :       
16:14:19 : surround   : protective shield         : TyyppVee                  :                           :              :              :       
16:14:19 : surround   : mystic shield             : YOU                       :                           :              :              :       
16:14:20 : surround   : mystic shield             : wreck                     :                           :              :              :       
16:14:20 : surround   : protective shield         : wreck                     :                           :              :              :       
16:14:20 : surround   : protective shield         : Rain                      :                           :              :              :       
16:14:21 : surround   : protective shield         : TyyppVee                  :                           :              :              :       
16:14:21 : surround   : mystic shield             : Rain                      :                           :              :              :       
16:14:21 : surround   : black mantle              : Rain                      :                           :              :              :       
16:14:21 : surround   : mystic shield             : blackgurl                 :                           :              :              :       
16:14:21 : surround   : protective shield         : blackgurl                 :                           :              :              :       
16:14:23 : surround   : black mantle              : blackgurl                 :                           :              :              :       
16:14:25 : surround   : black mantle              : Rain                      :                           :              :              :       
16:14:26 : surround   : black mantle              : wreck                     :                           :              :              :       
16:14:27 : surround   : black mantle              : KSlater                   :                           :              :              :       
16:14:29 : surround   : black mantle              : kwx                       :                           :              :              :       
16:14:29 : surround   : black mantle              : Andre                     :                           :              :              :       
16:14:36 : surround   : protective shield         : TyyppVee                  :                           :              :              :       
16:14:37 : surround   : black mantle              : syszj                     :                           :              :              :       
16:14:38 : surround   : black mantle              : MDAZJ                     :                           :              :              :       
16:14:39 : surround   : black mantle              : FYasz                     :                           :              :              :       
16:14:40 : surround   : black mantle              : FYasz                     :                           :              :              :       
16:14:41 : surround   : protective shield         : TyyppVee                  :                           :              :              :       
16:14:48 : surround   : protective shield         : CloudA                    :                           :              :              :       
16:14:48 : surround   : protective shield         : lover                     :                           :              :              :       
16:14:48 : surround   : protective shield         : CloudA                    :                           :              :              :       
16:14:48 : surround   : divine shield             : Healn                     :                           :              :              :       
16:14:48 : surround   : divine shield             : Ponch                     :                           :              :              :       
16:14:48 : surround   : divine shield             : SpeedyDri                 :                           :              :              :       
16:14:48 : surround   : black mantle              : Nibenay                   :                           :              :              :       
16:14:48 : surround   : divine shield             : Bearable                  :                           :              :              :       
16:14:48 : surround   : protective shield         : lover                     :                           :              :              :       
16:14:49 : surround   : divine shield             : DayWalker                 :                           :              :              :       
16:14:49 : surround   : protective shield         : Mephistopheles            :                           :              :              :       
16:14:49 : surround   : protective shield         : TyyppVee                  :                           :              :              :       
16:14:50 : surround   : divine shield             : MyosMoo                   :                           :              :              :       
16:14:50 : surround   : divine shield             : Marco                     :                           :              :              :       
16:14:50 : surround   : protective shield         : Peking                    :                           :              :              :       
16:14:51 : surround   : black mantle              : Bearable                  :                           :              :              :       
16:14:52 : surround   : black mantle              : Healn                     :                           :              :              :       
