Version     :: 0.0.11.5
DateTime    :: 11/7/2023 04:12:41 PM
RegExType   :: Damage :: Bleed
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<target>.*) takes? (?<value>\d*) .*(?<source>damage) from (?<type>.*)ing[\.!]

Time     : Value_Type : Source                    : Target                    : Ability                   : Event_type   : Event_detail : Value 
16:16:51 : bleed      : damage                    : Pockets                   :                           :              :              : 20    
16:16:52 : bleed      : damage                    : Pockets                   :                           :              :              : 16    
16:16:54 : bleed      : damage                    : Rue                       :                           :              :              : 30    
16:16:54 : bleed      : damage                    : Chase                     :                           :              :              : 16    
16:16:55 : bleed      : damage                    : Chase                     :                           :              :              : 17    
16:17:12 : bleed      : damage                    : TyyppVee                  :                           :              :              : 33    
16:17:22 : bleed      : damage                    : TypeVee                   :                           :              :              : 38    
16:17:23 : bleed      : damage                    : TypeVee                   :                           :              :              : 35    
16:17:23 : bleed      : damage                    : TypeVee                   :                           :              :              : 47    
16:17:24 : bleed      : damage                    : TypeVee                   :                           :              :              : 21    
16:17:31 : bleed      : damage                    : Luke                      :                           :              :              : 43    
16:17:32 : bleed      : damage                    : Luke                      :                           :              :              : 31    
16:17:38 : bleed      : damage                    : Que                       :                           :              :              : 24    
16:18:00 : bleed      : damage                    : Hwsz                      :                           :              :              : 49    
16:18:00 : bleed      : damage                    : Hwsz                      :                           :              :              : 47    
16:18:01 : bleed      : damage                    : Hwsz                      :                           :              :              : 42    
16:18:02 : bleed      : damage                    : Hwsz                      :                           :              :              : 62    
16:18:02 : bleed      : damage                    : Hwsz                      :                           :              :              : 20    
16:18:03 : bleed      : damage                    : Hwsz                      :                           :              :              : 38    
16:18:03 : bleed      : damage                    : Hwsz                      :                           :              :              : 33    
16:18:04 : bleed      : damage                    : Hwsz                      :                           :              :              : 52    
16:18:04 : bleed      : damage                    : Bourbon                   :                           :              :              : 25    
16:18:04 : bleed      : damage                    : Hwsz                      :                           :              :              : 53    
16:18:05 : bleed      : damage                    : Bourbon                   :                           :              :              : 50    
16:18:06 : bleed      : damage                    : Bourbon                   :                           :              :              : 37    
16:18:06 : bleed      : damage                    : Hwsz                      :                           :              :              : 42    
16:18:06 : bleed      : damage                    : Bourbon                   :                           :              :              : 23    
16:18:06 : bleed      : damage                    : Hwsz                      :                           :              :              : 35    
16:18:07 : bleed      : damage                    : Bourbon                   :                           :              :              : 27    
16:18:20 : bleed      : damage                    : sudo                      :                           :              :              : 101   
16:18:41 : bleed      : damage                    : Jill                      :                           :              :              : 56    
16:18:42 : bleed      : damage                    : Jill                      :                           :              :              : 52    
16:18:42 : bleed      : damage                    : Jill                      :                           :              :              : 18    
16:18:42 : bleed      : damage                    : Jill                      :                           :              :              : 46    
16:18:42 : bleed      : damage                    : Jill                      :                           :              :              : 25    
16:18:43 : bleed      : damage                    : Jill                      :                           :              :              : 37    
16:18:46 : bleed      : damage                    : Eyes                      :                           :              :              : 39    
16:18:46 : bleed      : damage                    : Eyes                      :                           :              :              : 35    
16:18:46 : bleed      : damage                    : Eyes                      :                           :              :              : 17    
16:18:47 : bleed      : damage                    : Eyes Bank Mice Elf        :                           :              :              : 22    
16:18:49 : bleed      : damage                    : Hero                      :                           :              :              : 17    
16:18:49 : bleed      : damage                    : Hero                      :                           :              :              : 35    
16:18:50 : bleed      : damage                    : Jill                      :                           :              :              : 16    
16:18:50 : bleed      : damage                    : Hero                      :                           :              :              : 48    
16:18:50 : bleed      : damage                    : Jill                      :                           :              :              : 25    
16:18:50 : bleed      : damage                    : Hero                      :                           :              :              : 24    
16:18:50 : bleed      : damage                    : Hero                      :                           :              :              : 22    
16:18:50 : bleed      : damage                    : Hero                      :                           :              :              : 55    
16:18:50 : bleed      : damage                    : Jill                      :                           :              :              : 19    
16:18:51 : bleed      : damage                    : Hero                      :                           :              :              : 50    
16:18:51 : bleed      : damage                    : Jill                      :                           :              :              : 24    
16:18:51 : bleed      : damage                    : Hero                      :                           :              :              : 43    
16:18:52 : bleed      : damage                    : Hero                      :                           :              :              : 27    
16:18:52 : bleed      : damage                    : Hero                      :                           :              :              : 45    
16:18:52 : bleed      : damage                    : Hero                      :                           :              :              : 43    
16:18:52 : bleed      : damage                    : Jill                      :                           :              :              : 18    
16:18:52 : bleed      : damage                    : Hero                      :                           :              :              : 45    
16:18:52 : bleed      : damage                    : Jill                      :                           :              :              : 29    
16:18:52 : bleed      : damage                    : Hero                      :                           :              :              : 25    
16:18:52 : bleed      : damage                    : Jill                      :                           :              :              : 13    
16:18:53 : bleed      : damage                    : Hero                      :                           :              :              : 39    
16:18:53 : bleed      : damage                    : Jill                      :                           :              :              : 41    
16:18:53 : bleed      : damage                    : Hero                      :                           :              :              : 40    
16:18:53 : bleed      : damage                    : Jill                      :                           :              :              : 32    
16:18:53 : bleed      : damage                    : Hero                      :                           :              :              : 37    
16:18:53 : bleed      : damage                    : Hero                      :                           :              :              : 36    
16:18:53 : bleed      : damage                    : Hero                      :                           :              :              : 40    
16:18:53 : bleed      : damage                    : Hero                      :                           :              :              : 32    
16:19:04 : bleed      : damage                    : Soda                      :                           :              :              : 96    
16:19:05 : bleed      : damage                    : Soda                      :                           :              :              : 76    
16:19:05 : bleed      : damage                    : Soda                      :                           :              :              : 122   
16:19:06 : bleed      : damage                    : Soda                      :                           :              :              : 102   
16:19:06 : bleed      : damage                    : Soda                      :                           :              :              : 81    
16:19:07 : bleed      : damage                    : Soda                      :                           :              :              : 64    
16:19:08 : bleed      : damage                    : CloudA                    :                           :              :              : 62    
16:19:08 : bleed      : damage                    : Soda                      :                           :              :              : 94    
16:19:08 : bleed      : damage                    : Fnc                       :                           :              :              : 37    
16:19:08 : bleed      : damage                    : CloudA                    :                           :              :              : 81    
16:19:09 : bleed      : damage                    : Soda                      :                           :              :              : 67    
16:19:09 : bleed      : damage                    : Fnc                       :                           :              :              : 30    
16:19:09 : bleed      : damage                    : CloudA                    :                           :              :              : 99    
16:19:09 : bleed      : damage                    : Soda                      :                           :              :              : 110   
16:19:09 : bleed      : damage                    : Fnc                       :                           :              :              : 33    
16:19:09 : bleed      : damage                    : CloudA                    :                           :              :              : 81    
16:19:10 : bleed      : damage                    : Soda                      :                           :              :              : 81    
16:19:10 : bleed      : damage                    : CloudA                    :                           :              :              : 75    
16:19:10 : bleed      : damage                    : Soda                      :                           :              :              : 90    
16:19:11 : bleed      : damage                    : CloudA                    :                           :              :              : 46    
16:19:12 : bleed      : damage                    : CloudA                    :                           :              :              : 88    
16:19:12 : bleed      : damage                    : CloudA                    :                           :              :              : 76    
16:19:13 : bleed      : damage                    : CloudA                    :                           :              :              : 50    
16:19:13 : bleed      : damage                    : CloudA                    :                           :              :              : 75    
16:19:13 : bleed      : damage                    : CloudA                    :                           :              :              : 79    
16:19:13 : bleed      : damage                    : CloudA                    :                           :              :              : 89    
16:19:14 : bleed      : damage                    : CloudA                    :                           :              :              : 41    
16:19:14 : bleed      : damage                    : CloudA                    :                           :              :              : 38    
16:19:14 : bleed      : damage                    : CloudA                    :                           :              :              : 17    
16:19:15 : bleed      : damage                    : CloudA                    :                           :              :              : 37    
16:19:24 : bleed      : damage                    : Lister                    :                           :              :              : 22    
16:19:25 : bleed      : damage                    : Lister                    :                           :              :              : 54    
16:19:25 : bleed      : damage                    : Lister                    :                           :              :              : 20    
16:19:26 : bleed      : damage                    : Lister                    :                           :              :              : 19    
16:19:27 : bleed      : damage                    : Lister                    :                           :              :              : 29    
16:19:27 : bleed      : damage                    : vVv                       :                           :              :              : 56    
16:19:28 : bleed      : damage                    : Lister                    :                           :              :              : 28    
16:19:28 : bleed      : damage                    : vVv                       :                           :              :              : 28    
16:19:28 : bleed      : damage                    : Lister                    :                           :              :              : 60    
16:19:29 : bleed      : damage                    : Lister                    :                           :              :              : 39    
16:19:32 : bleed      : damage                    : Soda                      :                           :              :              : 27    
16:19:32 : bleed      : damage                    : Soda                      :                           :              :              : 40    
16:19:33 : bleed      : damage                    : Soda                      :                           :              :              : 24    
16:19:33 : bleed      : damage                    : Soda                      :                           :              :              : 38    
16:19:34 : bleed      : damage                    : Soda                      :                           :              :              : 35    
16:19:34 : bleed      : damage                    : Soda                      :                           :              :              : 28    
16:19:34 : bleed      : damage                    : Soda                      :                           :              :              : 63    
16:19:34 : bleed      : damage                    : Soda                      :                           :              :              : 35    
16:19:35 : bleed      : damage                    : Soda                      :                           :              :              : 40    
16:19:35 : bleed      : damage                    : Soda                      :                           :              :              : 19    
16:19:35 : bleed      : damage                    : Soda                      :                           :              :              : 32    
16:19:35 : bleed      : damage                    : Soda                      :                           :              :              : 34    
16:19:36 : bleed      : damage                    : Soda                      :                           :              :              : 34    
