Version     :: 0.0.11.5
DateTime    :: 11/7/2023 04:12:41 PM
RegExType   :: Heal :: Apos
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<source>.+)[r']+[s]? (?<ability>.+'+.+) (?<type>heal)s (?<target>.*) for (?<value>\d*) points[\.!]

Time     : Value_Type : Source                    : Target                    : Ability                   : Event_type   : Event_detail : Value 
16:13:13 : heal       : lover                     : lover                     : Relgor's Restorative Elixir :              :              : 11    
16:13:13 : heal       : Sax                       : Sax                       : Relgor's Restorative Elixir :              :              : 16    
16:13:19 : heal       : Bourbon                   : Bourbon                   : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Bourbon                   : Bourbon                   : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Bourbon                   : Bourbon                   : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Bourbon                   : Bourbon                   : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Saas                      : Saas                      : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Bourbon                   : Bourbon                   : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Saas                      : Saas                      : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Saas                      : Saas                      : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Bourbon                   : Bourbon                   : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Saas                      : Saas                      : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Bourbon                   : Bourbon                   : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Bourbon                   : Bourbon                   : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Saas                      : Saas                      : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Bourbon                   : Bourbon                   : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Saas                      : Saas                      : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Bourbon                   : Bourbon                   : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Saas                      : Saas                      : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Bourbon                   : Bourbon                   : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Saas                      : Saas                      : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Bourbon                   : Bourbon                   : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Saas                      : Saas                      : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Bourbon                   : Bourbon                   : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Saas                      : Saas                      : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Bourbon                   : Bourbon                   : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Saas                      : Saas                      : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Saas                      : Saas                      : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Bourbon                   : Bourbon                   : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Saas                      : Saas                      : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Bourbon                   : Bourbon                   : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Bourbon                   : Bourbon                   : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Saas                      : Saas                      : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Bourbon                   : Bourbon                   : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Saas                      : Saas                      : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Saas                      : Saas                      : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Bourbon                   : Bourbon                   : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Bourbon                   : Bourbon                   : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Saas                      : Saas                      : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Saas                      : Saas                      : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Bourbon                   : Bourbon                   : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Saas                      : Saas                      : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Bourbon                   : Bourbon                   : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Saas                      : Saas                      : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Bourbon                   : Bourbon                   : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Saas                      : Saas                      : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Bourbon                   : Bourbon                   : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Bourbon                   : Bourbon                   : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Saas                      : Saas                      : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Bourbon                   : Bourbon                   : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Saas                      : Saas                      : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Saas                      : Saas                      : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Bourbon                   : Bourbon                   : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Bourbon                   : Bourbon                   : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Saas                      : Saas                      : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Bourbon                   : Bourbon                   : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Saas                      : Saas                      : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Saas                      : Saas                      : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Bourbon                   : Bourbon                   : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Saas                      : Saas                      : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Saas                      : Saas                      : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : Saas                      : Saas                      : Relgor's Restorative Elixir :              :              : 5     
16:13:19 : heal       : DMT                       : DMT                       : Relgor's Restorative Elixir :              :              : 9     
16:13:19 : heal       : DMT                       : DMT                       : Relgor's Restorative Elixir :              :              : 9     
16:13:19 : heal       : DMT                       : DMT                       : Relgor's Restorative Elixir :              :              : 9     
16:13:19 : heal       : DMT                       : DMT                       : Relgor's Restorative Elixir :              :              : 9     
16:13:19 : heal       : DMT                       : DMT                       : Relgor's Restorative Elixir :              :              : 9     
16:13:19 : heal       : DMT                       : DMT                       : Relgor's Restorative Elixir :              :              : 9     
16:13:19 : heal       : DMT                       : DMT                       : Relgor's Restorative Elixir :              :              : 9     
16:13:19 : heal       : DMT                       : DMT                       : Relgor's Restorative Elixir :              :              : 9     
16:13:20 : heal       : DMT                       : DMT                       : Relgor's Restorative Elixir :              :              : 9     
16:13:20 : heal       : DMT                       : DMT                       : Relgor's Restorative Elixir :              :              : 9     
16:13:20 : heal       : DMT                       : DMT                       : Relgor's Restorative Elixir :              :              : 9     
16:13:20 : heal       : DMT                       : DMT                       : Relgor's Restorative Elixir :              :              : 9     
16:13:20 : heal       : DMT                       : DMT                       : Relgor's Restorative Elixir :              :              : 9     
