Version     :: 0.0.11.0
DateTime    :: 11/7/2023 01:41:36 AM
RegExType   :: Damage :: Call the Sky's Fury
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<source>.*)[r']?[s]? (?<ability>Call the Sky.*) (?<type>.{3,8})s (?<target>.*) for (?<value>\d*) .*[\.!]

Time     : Value_Type : Source                    : Target                    : Ability                   : Event_type   : Event_detail : Value 
01:42:25 : shock      : HuntyPet's                : SeeNo                     : Call the Sky's Fury       :              :              : 434   
01:42:25 : shock      : HuntyPet's                : SeeNo                     : Call the Sky's Fury       :              :              : 811   
01:42:26 : shock      : HuntyPet's                : SeeNo                     : Call the Sky's Fury       :              :              : 467   
01:42:26 : shock      : HuntyPet's                : Bog                       : Call the Sky's Fury       :              :              : 396   
01:42:26 : shock      : Dispel's                  : Bog                       : Call the Sky's Fury       :              :              : 506   
01:42:27 : shock      : Dispel's                  : Bog                       : Call the Sky's Fury       :              :              : 716   
01:42:27 : shock      : HuntyPet's                : Bog                       : Call the Sky's Fury       :              :              : 697   
01:42:27 : shock      : Dispel's                  : Bog                       : Call the Sky's Fury       :              :              : 653   
01:42:27 : shock      : HuntyPet's                : Bog                       : Call the Sky's Fury       :              :              : 549   
01:42:27 : shock      : Your                      : First                     : Call the Sky's Fury       :              :              : 663   
01:42:27 : shock      : Dispel's                  : Bog                       : Call the Sky's Fury       :              :              : 770   
01:42:27 : shock      : HuntyPet's                : Bog                       : Call the Sky's Fury       :              :              : 1062  
01:42:28 : shock      : Dispel's                  : Yuckfou                   : Call the Sky's Fury       :              :              : 403   
01:42:28 : shock      : HuntyPet's                : Bog                       : Call the Sky's Fury       :              :              : 671   
01:42:28 : shock      : HuntyPet's                : Bog                       : Call the Sky's Fury       :              :              : 704   
01:42:28 : shock      : Dispel's                  : Yuckfou                   : Call the Sky's Fury       :              :              : 329   
01:42:29 : shock      : HuntyPet's                : Bog                       : Call the Sky's Fury       :              :              : 1048  
01:42:30 : shock      : HuntyPet's                : Bog                       : Call the Sky's Fury       :              :              : 1109  
01:42:31 : shock      : HuntyPet's                : Bog                       : Call the Sky's Fury       :              :              : 816   
01:42:31 : shock      : HuntyPet's                : Bog                       : Call the Sky's Fury       :              :              : 799   
01:42:31 : shock      : HuntyPet's                : Yuckfou                   : Call the Sky's Fury       :              :              : 827   
01:42:34 : shock      : HuntyPet's                : Fkrah                     : Call the Sky's Fury       :              :              : 344   
01:42:35 : shock      : HuntyPet's                : Noodle                    : Call the Sky's Fury       :              :              : 455   
01:42:35 : shock      : HuntyPet's                : Noodle                    : Call the Sky's Fury       :              :              : 511   
01:42:41 : shock      : HuntyPet's                : Imagine                   : Call the Sky's Fury       :              :              : 991   
01:42:41 : shock      : Your                      : Imagine                   : Call the Sky's Fury       :              :              : 928   
01:42:42 : shock      : Your                      : Imagine                   : Call the Sky's Fury       :              :              : 880   
01:42:42 : shock      : Dispel's                  : Holger                    : Call the Sky's Fury       :              :              : 975   
01:42:43 : shock      : Your                      : Holger                    : Call the Sky's Fury       :              :              : 811   
01:42:43 : shock      : Dispel's                  : Hunger                    : Call the Sky's Fury       :              :              : 994   
01:42:43 : shock      : HuntyPet's                : Hunger                    : Call the Sky's Fury       :              :              : 699   
01:42:45 : shock      : Dispel's                  : Octavius                  : Call the Sky's Fury       :              :              : 964   
01:42:45 : shock      : HuntyPet's                : Octavius                  : Call the Sky's Fury       :              :              : 988   
01:42:45 : shock      : Dispel's                  : Octavius                  : Call the Sky's Fury       :              :              : 1152  
01:42:46 : shock      : Dispel's                  : dnst                      : Call the Sky's Fury       :              :              : 338   
01:42:47 : shock      : Dispel's                  : dnst                      : Call the Sky's Fury       :              :              : 579   
01:42:48 : shock      : Dispel's                  : CJW                       : Call the Sky's Fury       :              :              : 946   
01:42:48 : shock      : HuntyPet's                : hta                       : Call the Sky's Fury       :              :              : 416   
01:42:49 : shock      : Your                      : hta                       : Call the Sky's Fury       :              :              : 273   
01:42:49 : shock      : Dispel's                  : hta                       : Call the Sky's Fury       :              :              : 448   
01:42:49 : shock      : HuntyPet's                : hta                       : Call the Sky's Fury       :              :              : 560   
01:42:50 : shock      : Your                      : Rylix                     : Call the Sky's Fury       :              :              : 188   
01:42:50 : shock      : Dispel's                  : xinyu                     : Call the Sky's Fury       :              :              : 619   
01:42:50 : shock      : HuntyPet's                : Rylix                     : Call the Sky's Fury       :              :              : 294   
01:42:51 : shock      : HuntyPet's                : dnst                      : Call the Sky's Fury       :              :              : 482   
01:42:51 : shock      : Dispel's                  : dnst                      : Call the Sky's Fury       :              :              : 885   
01:42:52 : shock      : Your                      : dnst                      : Call the Sky's Fury       :              :              : 468   
01:42:56 : shock      : Your                      : dnst                      : Call the Sky's Fury       :              :              : 503   
01:42:56 : shock      : Dispel's                  : dnst                      : Call the Sky's Fury       :              :              : 893   
01:42:58 : shock      : Dispel's                  : Novac Bellugh Nuathal Priest : Call the Sky's Fury       :              :              : 507   
01:42:58 : shock      : HuntyPet's                : Novac Bellugh Nuathal Priest : Call the Sky's Fury       :              :              : 727   
01:42:58 : shock      : Dispel's                  : Novac Bellugh Nuathal Priest : Call the Sky's Fury       :              :              : 1204  
01:42:58 : shock      : HuntyPet's                : Novac Bellugh Nuathal Priest : Call the Sky's Fury       :              :              : 714   
01:43:03 : shock      : Dispel's                  : Rain                      : Call the Sky's Fury       :              :              : 122   
01:43:04 : shock      : Dispel's                  : Rain                      : Call the Sky's Fury       :              :              : 231   
01:43:04 : shock      : Your                      : Rain                      : Call the Sky's Fury       :              :              : 134   
01:43:04 : shock      : HuntyPet's                : Rain                      : Call the Sky's Fury       :              :              : 219   
01:43:04 : shock      : Dispel's                  : Rain                      : Call the Sky's Fury       :              :              : 313   
01:43:04 : shock      : HuntyPet's                : Rain                      : Call the Sky's Fury       :              :              : 259   
01:43:04 : shock      : Your                      : blackgurl                 : Call the Sky's Fury       :              :              : 291   
01:43:05 : shock      : Dispel's                  : blackgurl                 : Call the Sky's Fury       :              :              : 754   
01:43:05 : shock      : HuntyPet's                : blackgurl                 : Call the Sky's Fury       :              :              : 389   
