Version     :: 0.0.11.0
DateTime    :: 11/7/2023 02:23:58 AM
RegExType   :: Damage :: Melee hit
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<source>.*)[r']?[s]? (?<type>hit)[s]? (?<target>.*) for (?<value>\d*) .*[\.!]

Time     : Value_Type : Source                    : Target                    : Ability                   : Event_type   : Event_detail : Value 
02:24:17 : hit        : MalzSent                  : Moss Ogre                 :                           :              :              : 178   
02:24:17 : hit        : MalzSent                  : Moss Ogre                 :                           :              :              : 211   
02:24:18 : hit        : MalzDruid                 : Moss Ogre                 :                           :              :              : 50    
02:24:18 : hit        : MalzDruid                 : Moss Ogre                 :                           :              :              : 31    
02:24:18 : hit        : MalzDruid                 : Moss Ogre                 :                           :              :              : 35    
02:24:18 : hit        : MalzPL                    : Moss Ogre                 :                           :              :              : 33    
02:24:18 : hit        : MalzDruid                 : Moss Ogre                 :                           :              :              : 19    
02:24:18 : hit        : MalzPL                    : Moss Ogre                 :                           :              :              : 33    
02:24:18 : hit        : MalzSent                  : Vorok Mud-Chief           :                           :              :              : 149   
02:24:18 : hit        : MalzSent                  : Vorok Mud-Chief           :                           :              :              : 191   
02:24:19 : hit        : MalzSent                  : Mud Ogre                  :                           :              :              : 160   
02:24:19 : hit        : MalzSent                  : Mud Ogre                  :                           :              :              : 193   
02:24:19 : hit        : MalzPL                    : Moss Ogre                 :                           :              :              : 42    
02:24:19 : hit        : MalzPL                    : Mud Ogre                  :                           :              :              : 36    
02:24:19 : hit        : MalzPL                    : Mud Ogre                  :                           :              :              : 28    
02:24:19 : hit        : MalzDruid                 : Mud Ogre                  :                           :              :              : 23    
02:24:19 : hit        : MalzPL                    : Mud Ogre                  :                           :              :              : 33    
02:24:19 : hit        : MalzDruid                 : Mud Ogre                  :                           :              :              : 14    
02:24:19 : hit        : MalzPL                    : Mud Ogre                  :                           :              :              : 26    
02:24:19 : hit        : MalzDruid                 : Vorok Mud-Chief           :                           :              :              : 42    
02:24:20 : hit        : MalzDruid                 : Mud Ogre                  :                           :              :              : 43    
02:24:20 : hit        : MalzDruid                 : Mud Ogre                  :                           :              :              : 23    
02:24:20 : hit        : MalzPL                    : Moss Ogre                 :                           :              :              : 42    
02:24:20 : hit        : MalzSent                  : Mud Ogre                  :                           :              :              : 125   
02:24:20 : hit        : MalzSent                  : Mud Ogre                  :                           :              :              : 84    
02:24:20 : hit        : MalzSent                  : Mud Ogre                  :                           :              :              : 175   
