Version     :: 0.0.11.0
DateTime    :: 11/7/2023 01:41:36 AM
RegExType   :: Damage :: Spell
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<source>.*?)[r']{1}[s]* (?<ability>.*?) (?<type>\w{3,11}?)s (?<target>.*) for (?<value>\d*) .*[\.!]

Time     : Value_Type : Source                    : Target                    : Ability                   : Event_type   : Event_detail : Value 
01:42:15 : smite      : deez                      : you                       : Censure                   :              :              : 698   
01:42:15 : burn       : Fkrah                     : lover                     : Uvoriel's Judgment        :              :              : 58    
01:42:15 : hurt       : Guru                      : lover                     : Sign of Sorthoth          :              :              : 236   
01:42:15 : strike     : PvPP                      : you                       : Mage Bolt                 :              :              : 594   
01:42:15 : burn       : Dispel                    : WoundedKnee               : fire                      :              :              : 155   
01:42:15 : freeze     : lover                     : Yuckfou                   : Shadow Bolt               :              :              : 146   
01:42:16 : burn       : Sniper                    : WoundedKnee               : Incendiary Blast          :              :              : 100   
01:42:16 : burn       : Sniper                    : Vashteera's Companion     : Incendiary Blast          :              :              : 272   
01:42:16 : burn       : Sniper                    : Fkrah                     : Incendiary Blast          :              :              : 236   
01:42:16 : burn       : Sniper                    : Fatherjoe                 : Incendiary Blast          :              :              : 315   
01:42:16 : burn       : Fkrah                     : lover                     : Uvoriel's Judgment        :              :              : 50    
01:42:16 : hurt       : Guru                      : lover                     : Sign of Sorthoth          :              :              : 192   
01:42:16 : strike     : Guru                      : lover                     : Mage Bolt                 :              :              : 417   
01:42:16 : hurt       : Miha                      : WoundedKnee               : Dread Dissonance          :              :              : 242   
01:42:16 : strike     : Guru                      : lover                     : Lesser Mage Bolt          :              :              : 94    
01:42:16 : smite      : deez                      : Sax                       : Censure                   :              :              : 591   
01:42:16 : freeze     : Dispel                    : WoundedKnee               : Fury of Ice               :              :              : 175   
01:42:16 : burn       : Sniper                    : Vashteera's Companion     : Incendiary Blast          :              :              : 419   
01:42:16 : burn       : Sniper                    : Fkrah                     : Incendiary Blast          :              :              : 293   
01:42:16 : burn       : Sniper                    : WoundedKnee               : Incendiary Blast          :              :              : 99    
01:42:16 : burn       : Sniper                    : Fatherjoe                 : Incendiary Blast          :              :              : 292   
01:42:16 : strike     : Guru                      : Bourbon                   : Mage Bolt                 :              :              : 269   
01:42:16 : hurt       : Guru                      : lover                     : Sign of Sorthoth          :              :              : 168   
01:42:16 : hurt       : Miha                      : Guru                      : Dread Dissonance          :              :              : 424   
01:42:16 : burn       : Fkrah                     : lover                     : Uvoriel's Judgment        :              :              : 70    
01:42:16 : strike     : Bog                       : HuntyPet                  : Unholy Blast              :              :              : 658   
01:42:16 : strike     : PvPP                      : sudo                      : Mage Bolt                 :              :              : 419   
01:42:17 : freeze     : lover                     : Guru                      : Shadow Bolt               :              :              : 168   
01:42:17 : burn       : Sniper                    : Vashteera's Companion     : Incendiary Blast          :              :              : 337   
01:42:17 : burn       : Sniper                    : WoundedKnee               : Incendiary Blast          :              :              : 127   
01:42:17 : burn       : Sniper                    : Fkrah                     : Incendiary Blast          :              :              : 424   
01:42:17 : burn       : Sniper                    : Fatherjoe                 : Incendiary Blast          :              :              : 291   
01:42:17 : burn       : Dispel                    : Guru                      : fire                      :              :              : 148   
01:42:17 : hurt       : Miha                      : Guru                      : Dread Dissonance          :              :              : 284   
01:42:17 : hurt       : PvPP                      : sudo                      : Sign of Sorthoth          :              :              : 357   
01:42:17 : burn       : Fkrah                     : lover                     : Uvoriel's Judgment        :              :              : 52    
01:42:17 : hurt       : Guru                      : lover                     : Sign of Sorthoth          :              :              : 121   
01:42:17 : burn       : Sniper                    : WoundedKnee               : Fire Bolt                 :              :              : 340   
01:42:17 : burn       : Sniper                    : WoundedKnee               : Incendiary Blast          :              :              : 175   
01:42:17 : burn       : Sniper                    : Vashteera's Companion     : Incendiary Blast          :              :              : 373   
01:42:17 : burn       : Sniper                    : Noodle                    : Incendiary Blast          :              :              : 248   
01:42:17 : burn       : Sniper                    : Fkrah                     : Incendiary Blast          :              :              : 222   
01:42:17 : burn       : Sniper                    : Fatherjoe                 : Incendiary Blast          :              :              : 333   
01:42:17 : burn       : Fkrah                     : lover                     : Uvoriel's Judgment        :              :              : 47    
