Version     :: 0.0.11.0
DateTime    :: 11/7/2023 01:41:36 AM
RegExType   :: Damage :: Spell
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<source>.*?)[r']{1}[s]* (?<ability>.*?) (?<type>\w{3,11}?)s (?<target>.*) for (?<value>\d*) .*[\.!]

Time     : Value_Type : Source                    : Target                    : Ability                   : Event_type   : Event_detail : Value 
01:41:57 : burn       : Sniper                    : you                       : Incendiary Blast          :              :              : 243   
01:41:57 : burn       : Sniper                    : Saas                      : Incendiary Blast          :              :              : 358   
01:41:57 : burn       : BigBlackBen               : lover                     : Fire Damage Over Time     :              :              : 207   
01:41:57 : burn       : BigBlackBen               : BigBlackBen               : Cleansing Flame           :              :              : 18    
01:41:57 : burn       : BigBlackBen               : lover                     : Cleansing Flame           :              :              : 24    
01:41:57 : burn       : Sniper                    : AlbiThere                 : Ignite                    :              :              : 541   
01:41:57 : burn       : BigBlackBen               : lover                     : Cleansing Flame           :              :              : 200   
01:41:57 : burn       : Sniper                    : AlbiThere                 : Fire Bolt                 :              :              : 1374  
01:41:58 : burn       : Sniper                    : Miha                      : Incendiary Blast          :              :              : 179   
01:41:58 : burn       : Sniper                    : Dispel                    : Incendiary Blast          :              :              : 259   
01:41:58 : burn       : Sniper                    : BigBlackBen               : Incendiary Blast          :              :              : 284   
01:41:58 : burn       : Sniper                    : Sax                       : Incendiary Blast          :              :              : 351   
01:41:58 : burn       : Sniper                    : PBAOE                     : Incendiary Blast          :              :              : 127   
01:41:58 : burn       : Sniper                    : HuntyPet                  : Incendiary Blast          :              :              : 448   
01:41:58 : burn       : BigBlackBen               : lover                     : Fire Damage Over Time     :              :              : 146   
01:41:58 : burn       : BigBlackBen               : BigBlackBen               : Cleansing Flame           :              :              : 11    
01:41:58 : burn       : BigBlackBen               : lover                     : Cleansing Flame           :              :              : 138   
01:41:58 : burn       : BigBlackBen               : lover                     : Cleansing Flame           :              :              : 15    
01:41:58 : burn       : HuntyPet                  : Priest                    : fire                      :              :              : 722   
01:41:58 : burn       : Sniper                    : AlbiThere                 : Ignite                    :              :              : 461   
01:41:58 : burn       : Sniper                    : Miha                      : Incendiary Blast          :              :              : 231   
01:41:58 : burn       : Sniper                    : Dispel                    : Incendiary Blast          :              :              : 303   
01:41:58 : burn       : Sniper                    : BigBlackBen               : Incendiary Blast          :              :              : 267   
01:41:58 : burn       : Sniper                    : Sax                       : Incendiary Blast          :              :              : 368   
01:41:58 : burn       : Sniper                    : PBAOE                     : Incendiary Blast          :              :              : 314   
01:41:58 : burn       : Sniper                    : HuntyPet                  : Incendiary Blast          :              :              : 172   
01:41:59 : burn       : Dispel                    : PBAOE                     : fire                      :              :              : 357   
01:41:59 : burn       : Sniper                    : AlbiThere                 : Fire Bolt                 :              :              : 746   
01:41:59 : burn       : BigBlackBen               : BigBlackBen               : Cleansing Flame           :              :              : 11    
01:41:59 : burn       : BigBlackBen               : lover                     : Cleansing Flame           :              :              : 142   
01:41:59 : burn       : BigBlackBen               : lover                     : Cleansing Flame           :              :              : 15    
01:41:59 : burn       : Sniper                    : AlbiThere                 : Ignite                    :              :              : 534   
01:41:59 : burn       : Sniper                    : Miha                      : Incendiary Blast          :              :              : 192   
01:41:59 : burn       : Sniper                    : Dispel                    : Incendiary Blast          :              :              : 346   
