Version     :: 0.0.11.0
DateTime    :: 11/7/2023 01:41:36 AM
RegExType   :: Combat :: Info Death
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*\[Combat\] Info\: (?<source>.*) [hasve]* (?<type>die).*!

Time     : Value_Type : Source                    : Target                    : Ability                   : Event_type   : Event_detail : Value 
01:44:13 : die        : CaliSent                  :                           :                           :              :              :       
01:44:13 : die        : CaliSent                  :                           :                           :              :              :       
01:44:14 : die        : Vaginex                   :                           :                           :              :              :       
01:44:14 : die        : Vaginex                   :                           :                           :              :              :       
01:44:14 : die        : Liquid Snacks             :                           :                           :              :              :       
01:44:14 : die        : Liquid Snacks             :                           :                           :              :              :       
01:44:16 : die        : Prodriver                 :                           :                           :              :              :       
01:44:16 : die        : Prodriver                 :                           :                           :              :              :       
01:44:17 : die        : HolyThug                  :                           :                           :              :              :       
01:44:18 : die        : Healn                     :                           :                           :              :              :       
01:44:24 : die        : SYgzs � BH               :                           :                           :              :              :       
01:44:26 : die        : MDAZJ BH                  :                           :                           :              :              :       
01:44:27 : die        : LDSU mS BH                :                           :                           :              :              :       
01:44:29 : die        : HHDD k� BH                :                           :                           :              :              :       
