Version     :: 0.0.11.5
DateTime    :: 11/7/2023 04:12:41 PM
RegExType   :: Power :: Execute-prepare
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<source>.*?) (?<event_type>prepare) to (?<type>execute)s? [\Wa]*(?<ability>.*)[\.!]

Time     : Value_Type : Source                    : Target                    : Ability                   : Event_type   : Event_detail : Value 
16:17:22 : execute    : YOU                       :                           : Aim for the Arm           : prepare      :              :       
16:17:22 : execute    : YOU                       :                           : Circle Swing              : prepare      :              :       
16:17:23 : execute    : YOU                       :                           : Kneeshot                  : prepare      :              :       
16:17:23 : execute    : YOU                       :                           : Mark of Shame             : prepare      :              :       
16:17:24 : execute    : YOU                       :                           : Shield Ringer             : prepare      :              :       
16:17:24 : execute    : YOU                       :                           : Bruising Strike           : prepare      :              :       
16:17:24 : execute    : YOU                       :                           : Spinning Block            : prepare      :              :       
16:17:24 : execute    : YOU                       :                           : Smash                     : prepare      :              :       
16:17:25 : execute    : YOU                       :                           : Batter                    : prepare      :              :       
16:17:25 : execute    : YOU                       :                           : Aim for the Arm           : prepare      :              :       
16:17:26 : execute    : YOU                       :                           : Kneeshot                  : prepare      :              :       
16:17:26 : execute    : YOU                       :                           : Mark of Shame             : prepare      :              :       
16:17:27 : execute    : YOU                       :                           : Bruising Strike           : prepare      :              :       
16:17:28 : execute    : YOU                       :                           : Spinning Block            : prepare      :              :       
16:17:28 : execute    : YOU                       :                           : Smash                     : prepare      :              :       
16:17:28 : execute    : YOU                       :                           : Circle Swing              : prepare      :              :       
16:17:28 : execute    : YOU                       :                           : Aim for the Arm           : prepare      :              :       
16:17:29 : execute    : YOU                       :                           : Kneeshot                  : prepare      :              :       
16:17:29 : execute    : YOU                       :                           : Mark of Shame             : prepare      :              :       
16:17:29 : execute    : YOU                       :                           : Shield Ringer             : prepare      :              :       
16:17:30 : execute    : YOU                       :                           : Bruising Strike           : prepare      :              :       
16:17:30 : execute    : YOU                       :                           : Spinning Block            : prepare      :              :       
16:17:31 : execute    : YOU                       :                           : Aim for the Arm           : prepare      :              :       
16:17:31 : execute    : YOU                       :                           : Kneeshot                  : prepare      :              :       
16:17:32 : execute    : YOU                       :                           : Mark of Shame             : prepare      :              :       
16:17:32 : execute    : YOU                       :                           : Smash                     : prepare      :              :       
16:17:33 : execute    : YOU                       :                           : Bruising Strike           : prepare      :              :       
16:17:34 : execute    : YOU                       :                           : Spinning Block            : prepare      :              :       
16:17:34 : execute    : YOU                       :                           : Aim for the Arm           : prepare      :              :       
16:18:41 : execute    : YOU                       :                           : Spinning Block            : prepare      :              :       
16:18:43 : execute    : YOU                       :                           : Smash                     : prepare      :              :       
16:18:44 : execute    : YOU                       :                           : Spinning Block            : prepare      :              :       
16:18:44 : execute    : YOU                       :                           : Bruising Strike           : prepare      :              :       
16:18:44 : execute    : YOU                       :                           : Kneeshot                  : prepare      :              :       
16:18:44 : execute    : YOU                       :                           : Mark of Shame             : prepare      :              :       
16:18:45 : execute    : YOU                       :                           : Smash                     : prepare      :              :       
16:18:45 : execute    : YOU                       :                           : Aim for the Arm           : prepare      :              :       
16:18:45 : execute    : YOU                       :                           : Chant of the Dwarves      : prepare      :              :       
16:18:45 : execute    : YOU                       :                           : Circle Swing              : prepare      :              :       
16:18:46 : execute    : YOU                       :                           : Bruising Strike           : prepare      :              :       
16:18:46 : execute    : YOU                       :                           : Spinning Block            : prepare      :              :       
16:18:46 : execute    : YOU                       :                           : Shield Ringer             : prepare      :              :       
16:18:46 : execute    : YOU                       :                           : Smash                     : prepare      :              :       
16:18:47 : execute    : YOU                       :                           : Kneeshot                  : prepare      :              :       
16:18:47 : execute    : YOU                       :                           : Bruising Strike           : prepare      :              :       
16:18:47 : execute    : YOU                       :                           : Spinning Block            : prepare      :              :       
16:18:47 : execute    : YOU                       :                           : Kneeshot                  : prepare      :              :       
16:18:47 : execute    : YOU                       :                           : Bruising Strike           : prepare      :              :       
16:18:47 : execute    : YOU                       :                           : Batter                    : prepare      :              :       
16:18:50 : execute    : YOU                       :                           : Smash                     : prepare      :              :       
16:18:50 : execute    : YOU                       :                           : Circle Swing              : prepare      :              :       
16:18:50 : execute    : YOU                       :                           : Bruising Strike           : prepare      :              :       
16:18:50 : execute    : YOU                       :                           : Spinning Block            : prepare      :              :       
16:18:51 : execute    : YOU                       :                           : Smash                     : prepare      :              :       
16:18:51 : execute    : YOU                       :                           : Bruising Strike           : prepare      :              :       
16:18:51 : execute    : YOU                       :                           : Smash                     : prepare      :              :       
16:18:52 : execute    : YOU                       :                           : Circle Swing              : prepare      :              :       
16:18:52 : execute    : YOU                       :                           : Bruising Strike           : prepare      :              :       
16:18:52 : execute    : YOU                       :                           : Spinning Block            : prepare      :              :       
16:19:03 : execute    : YOU                       :                           : Smash                     : prepare      :              :       
16:19:03 : execute    : YOU                       :                           : Circle Swing              : prepare      :              :       
16:19:03 : execute    : YOU                       :                           : Spinning Block            : prepare      :              :       
16:19:03 : execute    : YOU                       :                           : Bruising Strike           : prepare      :              :       
16:19:03 : execute    : YOU                       :                           : Kneeshot                  : prepare      :              :       
16:19:04 : execute    : YOU                       :                           : Mark of Shame             : prepare      :              :       
16:19:05 : execute    : YOU                       :                           : Aim for the Arm           : prepare      :              :       
16:19:05 : execute    : YOU                       :                           : Shield Ringer             : prepare      :              :       
16:19:05 : execute    : YOU                       :                           : Batter                    : prepare      :              :       
16:19:05 : execute    : YOU                       :                           : Spinning Block            : prepare      :              :       
16:19:06 : execute    : YOU                       :                           : Bruising Strike           : prepare      :              :       
16:19:06 : execute    : YOU                       :                           : Kneeshot                  : prepare      :              :       
16:19:06 : execute    : YOU                       :                           : Smash                     : prepare      :              :       
16:19:07 : execute    : YOU                       :                           : Mark of Shame             : prepare      :              :       
16:19:07 : execute    : YOU                       :                           : Aim for the Arm           : prepare      :              :       
16:19:08 : execute    : YOU                       :                           : Shield Ringer             : prepare      :              :       
16:19:08 : execute    : YOU                       :                           : Batter                    : prepare      :              :       
