Version     :: 0.0.11.5
DateTime    :: 11/7/2023 04:12:41 PM
RegExType   :: Drain :: Backstab
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<target>.*?) (?<type>.*?)[e]?[s]? (?<value>\d*) points of (?<event_type>.*?)\W?damage from (?<source>\w*)[r']?[s]? (?<ability>.*)[\.!]

Time     : Value_Type : Source                    : Target                    : Ability                   : Event_type   : Event_detail : Value 
16:14:15 : suffer     : wreck                     : YOU                       : poison                    :              :              : 173   
16:14:15 : suffer     : wreck                     : YOU                       : poison                    :              :              : 77    
16:14:15 : suffer     : wreck                     : YOU                       : poison                    :              :              : 83    
16:14:16 : suffer     : SOMEONE                   : YOU                       : poison                    :              :              : 123   
16:14:16 : suffer     : SOMEONE                   : YOU                       : poison                    :              :              : 10    
16:14:16 : suffer     : SOMEONE                   : YOU                       : poison                    :              :              : 99    
16:14:16 : suffer     : SOMEONE                   : YOU                       : poison                    :              :              : 11    
16:14:21 : suffer     : wreck                     : YOU                       : poison                    :              :              : 259   
16:14:21 : suffer     : wreck                     : wreck                     : poison                    :              :              : 23    
16:14:21 : suffer     : wreck                     : YOU                       : poison                    :              :              : 30    
16:14:22 : suffer     : wreck                     : TyyppVee                  : poison                    :              :              : 146   
16:14:22 : suffer     : wreck                     : wreck                     : poison                    :              :              : 13    
16:14:22 : suffer     : wreck                     : TyyppVee                  : poison                    :              :              : 18    
16:14:22 : suffer     : wreck                     : YOU                       : poison                    :              :              : 157   
16:14:22 : suffer     : wreck                     : wreck                     : poison                    :              :              : 22    
16:14:22 : suffer     : wreck                     : YOU                       : poison                    :              :              : 30    
16:14:22 : suffer     : wreck                     : TyyppVee                  : poison                    :              :              : 134   
16:14:22 : suffer     : wreck                     : wreck                     : poison                    :              :              : 14    
16:14:22 : suffer     : wreck                     : TyyppVee                  : poison                    :              :              : 19    
16:14:22 : suffer     : wreck                     : wreck                     : poison                    :              :              : 23    
16:14:22 : suffer     : wreck                     : YOU                       : poison                    :              :              : 31    
16:14:22 : suffer     : wreck                     : YOU                       : poison                    :              :              : 261   
16:14:23 : suffer     : wreck                     : TyyppVee                  : poison                    :              :              : 111   
16:14:23 : suffer     : wreck                     : wreck                     : poison                    :              :              : 12    
16:14:23 : suffer     : wreck                     : TyyppVee                  : poison                    :              :              : 17    
16:14:23 : suffer     : wreck                     : YOU                       : poison                    :              :              : 352   
16:14:23 : suffer     : wreck                     : wreck                     : poison                    :              :              : 22    
16:14:23 : suffer     : wreck                     : YOU                       : poison                    :              :              : 30    
16:14:23 : suffer     : wreck                     : TyyppVee                  : poison                    :              :              : 182   
16:14:23 : suffer     : wreck                     : wreck                     : poison                    :              :              : 14    
16:14:23 : suffer     : wreck                     : TyyppVee                  : poison                    :              :              : 18    
16:14:23 : suffer     : wreck                     : YOU                       : poison                    :              :              : 142   
16:14:23 : suffer     : wreck                     : wreck                     : poison                    :              :              : 23    
16:14:23 : suffer     : wreck                     : YOU                       : poison                    :              :              : 31    
16:14:23 : suffer     : wreck                     : TyyppVee                  : poison                    :              :              : 273   
16:14:24 : suffer     : wreck                     : wreck                     : poison                    :              :              : 23    
16:14:24 : suffer     : wreck                     : TyyppVee                  : poison                    :              :              : 30    
16:14:24 : suffer     : wreck                     : YOU                       : poison                    :              :              : 212   
16:14:24 : suffer     : wreck                     : wreck                     : poison                    :              :              : 22    
16:14:24 : suffer     : wreck                     : YOU                       : poison                    :              :              : 30    
16:14:24 : suffer     : wreck                     : Dispel                    : poison                    :              :              : 140   
16:14:24 : suffer     : wreck                     : wreck                     : poison                    :              :              : 15    
16:14:24 : suffer     : wreck                     : Dispel                    : poison                    :              :              : 20    
16:14:24 : suffer     : wreck                     : TyyppVee                  : poison                    :              :              : 205   
16:14:24 : suffer     : wreck                     : wreck                     : poison                    :              :              : 5     
16:14:24 : suffer     : wreck                     : TyyppVee                  : poison                    :              :              : 31    
16:14:24 : suffer     : wreck                     : YOU                       : poison                    :              :              : 258   
16:14:24 : suffer     : wreck                     : wreck                     : poison                    :              :              : 21    
16:14:24 : suffer     : wreck                     : YOU                       : poison                    :              :              : 29    
16:14:24 : suffer     : wreck                     : wreck                     : poison                    :              :              : 14    
16:14:24 : suffer     : wreck                     : Dispel                    : poison                    :              :              : 102   
16:14:24 : suffer     : wreck                     : Dispel                    : poison                    :              :              : 19    
16:14:24 : suffer     : wreck                     : TyyppVee                  : poison                    :              :              : 302   
16:14:24 : suffer     : wreck                     : TyyppVee                  : poison                    :              :              : 31    
